root,shuffled,id,valid_words,length,Set
have,ehva,001,['have'],4,SetA
about,outba,002,['about'],5,SetA
people,pelpoe,003,['people'],6,SetA
will,llwi,004,['will'],4,SetA
there,reteh,005,"['heter', 'ether', 'three', 'there']",5,SetA
around,oaudnr,006,"['around', 'arundo']",6,SetA
just,jstu,007,"['just', 'juts']",4,SetA
other,oehrt,008,"['other', 'throe', 'hoter']",5,SetA
better,trebte,009,['better'],6,SetA
like,klei,010,['like'],4,SetA
first,rtifs,011,"['first', 'rifts']",5,SetA
always,lwaysa,012,['always'],6,SetA
more,rmoe,013,"['more', 'rome']",4,SetA
after,fatre,014,"['fater', 'after']",5,SetA
little,elitlt,015,['little'],6,SetA
time,imte,016,"['item', 'emit', 'time', 'mite']",4,SetA
think,nikht,017,['think'],5,SetA
things,sigtnh,018,"['nights', 'things']",6,SetA
some,moes,019,['some'],4,SetA
right,igtrh,020,"['girth', 'right']",5,SetA
school,oclosh,021,['school'],6,SetA
good,ogdo,022,['good'],4,SetA
being,ibeng,023,"['begin', 'being', 'binge']",5,SetA
please,selepa,024,"['leapes', 'please', 'asleep', 'elapse', 'palees', 'peales']",6,SetA
only,lnoy,025,"['lyon', 'only']",4,SetA
going,oiggn,026,['going'],5,SetA
family,lyfmai,027,['family'],6,SetA
know,wokn,028,"['wonk', 'know']",4,SetA
still,sillt,029,"['tills', 'still', 'lilts']",5,SetA
second,cndoes,030,['second'],6,SetA
over,voer,031,"['rove', 'over']",4,SetA
never,reven,032,"['verne', 'nerve', 'never']",5,SetA
number,mnuebr,033,['number'],6,SetA
make,kaem,034,['make'],4,SetA
world,drwol,035,['world'],5,SetA
public,pblicu,036,['public'],6,SetA
then,tehn,037,['then'],4,SetA
great,reagt,038,"['grate', 'great']",5,SetA
system,estsym,039,['system'],6,SetA
back,abck,040,['back'],4,SetA
while,wlhei,041,['while'],5,SetA
person,snpoer,042,"['person', 'perons']",6,SetA
want,twan,043,['want'],4,SetA
every,eyevr,044,"['veery', 'every']",5,SetA
enough,eghnuo,045,['enough'],6,SetA
well,wlle,046,['well'],4,SetA
three,eehrt,047,"['heter', 'ether', 'three', 'there']",5,SetA
change,caghne,048,['change'],6,SetA
much,hcum,049,"['chum', 'much']",4,SetA
state,tseat,050,"['testa', 'state', 'tates', 'teats', 'taste']",5,SetA
making,iknagm,051,['making'],6,SetA
most,tsom,052,"['most', 'toms', 'mots']",4,SetA
under,druen,053,"['duner', 'under', 'nuder', 'runed']",5,SetA
though,thhoug,054,['though'],6,SetA
very,reyv,055,['very'],4,SetA
thing,hntig,056,"['night', 'thing']",5,SetA
season,essona,057,"['saones', 'season']",6,SetA
even,veen,058,"['neve', 'even']",4,SetA
house,soeuh,059,['house'],5,SetA
trying,gytnri,060,['trying'],6,SetA
here,eehr,061,['here'],4,SetA
place,acelp,062,"['calpe', 'place']",5,SetA
united,tniedu,063,"['united', 'untied']",6,SetA
need,edne,064,"['need', 'eden']",4,SetA
again,ainag,065,['again'],5,SetA
course,rcuseo,066,"['cerous', 'course', 'crouse', 'source']",6,SetA
work,wokr,067,['work'],4,SetA
found,onfdu,068,"['found', 'fondu']",5,SetA
health,heltah,069,['health'],6,SetA
year,yrea,070,"['aery', 'year', 'eyra']",4,SetA
might,tmgih,071,['might'],5,SetA
thanks,ntshak,072,['thanks'],6,SetA
made,emad,073,"['mead', 'made', 'dame', 'edam', 'emda']",4,SetA
money,ynmoe,074,['money'],5,SetA
social,silcao,075,['social'],6,SetA
take,keta,076,"['take', 'teak']",4,SetA
night,ntihg,077,"['night', 'thing']",5,SetA
single,leisgn,078,"['single', 'lignes']",6,SetA
many,mnya,079,"['many', 'myna']",4,SetA
group,gupor,080,['group'],5,SetA
office,ofeicf,081,"['coiffe', 'office']",6,SetA
life,iefl,082,"['lief', 'life', 'file']",4,SetA
start,tatsr,083,"['tarts', 'start']",5,SetA
become,emeboc,084,['become'],6,SetA
down,wodn,085,['down'],4,SetA
times,imtes,086,"['metis', 'emits', 'mites', 'times', 'smite', 'items']",5,SetA
pretty,ytpert,087,['pretty'],6,SetA
last,astl,088,"['lats', 'alts', 'slat', 'salt', 'last']",4,SetA
today,tyado,089,"['toady', 'today']",5,SetA
matter,taretm,090,['matter'],6,SetA
best,sbet,091,"['best', 'bets']",4,SetA
point,ponti,092,"['pinto', 'piton', 'pinot', 'point']",5,SetA
saying,yigans,093,['saying'],6,SetA
such,uchs,094,['such'],4,SetA
music,usmic,095,"['music', 'musci']",5,SetA
friend,dirfne,096,"['friend', 'finder']",6,SetA
love,elvo,097,"['vole', 'love']",4,SetA
power,wpeor,098,['power'],5,SetA
wanted,wteadn,099,['wanted'],6,SetA
long,lgon,100,['long'],4,SetA
water,raetw,101,['water'],5,SetA
series,iseesr,102,"['iseres', 'risees', 'erises', 'series', 'sirees']",6,SetA
home,hoem,103,['home'],4,SetA
white,iwteh,104,"['white', 'withe']",5,SetA
future,uutrfe,105,['future'],6,SetA
look,kool,106,['look'],4,SetA
small,laslm,107,"['small', 'malls']",5,SetA
either,reihet,108,['either'],6,SetA
same,meas,109,"['same', 'mesa', 'seam']",4,SetA
based,adsbe,110,"['dabes', 'bades', 'bedas', 'based', 'beads']",5,SetA
police,coielp,111,['police'],6,SetA
used,desu,112,"['used', 'sued', 'dues', 'duse']",4,SetA
later,rleat,113,"['later', 'artel', 'alert', 'alter', 'ratel']",5,SetA
rather,rertah,114,['rather'],6,SetA
both,ohtb,115,['both'],4,SetA
order,drreo,116,['order'],5,SetA
reason,snorea,117,"['senora', 'reason']",6,SetA
part,ptar,118,"['prat', 'tarp', 'part', 'rapt', 'trap']",4,SetA
party,ayrpt,119,['party'],5,SetA
report,orrpte,120,"['report', 'porter', 'pretor']",6,SetA
come,cmeo,121,['come'],4,SetA
thank,nahtk,122,['thank'],5,SetA
living,ngiilv,123,['living'],6,SetA
find,ifnd,124,['find'],4,SetA
black,lkabc,125,['black'],5,SetA
behind,bhendi,126,['behind'],6,SetA
high,ghih,127,['high'],4,SetA
whole,owhel,128,['whole'],5,SetA
market,atkrme,129,['market'],6,SetA
help,hlpe,130,['help'],4,SetA
story,trsoy,131,"['torys', 'tyros', 'story', 'troys']",5,SetA
former,morefr,132,"['reform', 'former']",6,SetA
game,eagm,133,['game'],4,SetA
least,atsle,134,"['teals', 'lates', 'least', 'stale', 'tesla', 'stael', 'taels', 'tales', 'stela', 'slate', 'steal']",5,SetA
street,rstete,135,"['street', 'setter', 'tester']",6,SetA
give,gvei,136,['give'],4,SetA
means,esmna,137,"['manse', 'amens', 'manes', 'names', 'mensa', 'samen', 'means']",5,SetA
london,ndolno,138,['london'],6,SetA
next,ntex,139,['next'],4,SetA
early,erlay,140,"['early', 'leary', 'relay', 'layer']",5,SetA
chance,hcncea,141,['chance'],6,SetA
each,ceah,142,"['ache', 'each']",4,SetA
local,laocl,143,['local'],5,SetA
father,fethar,144,['father'],6,SetA
must,stum,145,"['must', 'smut', 'tums']",4,SetA
young,unyog,146,['young'],5,SetA
across,rsacso,147,"['across', 'oscars']",6,SetA
show,wohs,148,"['whos', 'show']",4,SetA
video,oeivd,149,['video'],5,SetA
action,aniotc,150,"['atonic', 'cation', 'action']",6,SetA
sure,esur,151,"['ruse', 'rues', 'user', 'sure', 'suer']",4,SetB
given,veign,152,['given'],5,SetB
mother,hteorm,153,['mother'],6,SetB
feel,eelf,154,"['flee', 'feel']",4,SetB
level,lleve,155,['level'],5,SetB
moment,emontm,156,['moment'],6,SetB
team,amte,157,"['mate', 'meat', 'team', 'tame']",4,SetB
often,onetf,158,['often'],5,SetB
played,elpayd,159,['played'],6,SetB
ever,reev,160,"['veer', 'ever']",4,SetB
court,ruotc,161,['court'],5,SetB
energy,geeynr,162,['energy'],6,SetB
keep,kpee,163,"['keep', 'peek', 'peke']",4,SetB
south,ousth,164,"['shout', 'thous', 'south']",5,SetB
summer,mrusme,165,['summer'],6,SetB
free,fere,166,"['reef', 'free']",4,SetB
death,dheat,167,"['hated', 'death']",5,SetB
strong,rgtnso,168,['strong'],6,SetB
away,ayaw,169,['away'],4,SetB
hours,urhso,170,"['horus', 'hours']",5,SetB
record,cordre,171,['record'],6,SetB
left,flte,172,"['left', 'felt']",4,SetB
large,glaer,173,"['regal', 'elgar', 'large', 'alger', 'lager', 'glare']",5,SetB
period,oprdei,174,"['dopier', 'period']",6,SetB
play,yalp,175,['play'],4,SetB
wrong,nrwog,176,"['grown', 'wrong']",5,SetB
common,onmcmo,177,['common'],6,SetB
name,enam,178,"['mane', 'name', 'mean', 'amen']",4,SetB
known,onknw,179,['known'],5,SetB
likely,eyilkl,180,['likely'],6,SetB
city,cyit,181,['city'],4,SetB
along,lgaon,182,"['along', 'logan', 'golan']",5,SetB
center,ecrnet,183,"['center', 'centre', 'recent', 'tenrec']",6,SetB
days,asyd,184,['days'],4,SetB
close,csleo,185,"['coles', 'close', 'socle']",5,SetB
inside,iidsen,186,"['inside', 'indies']",6,SetB
real,aerl,187,"['rale', 'earl', 'lear', 'real']",4,SetB
class,lssac,188,['class'],5,SetB
return,rrteun,189,"['turner', 'return']",6,SetB
done,oned,190,"['node', 'done']",4,SetB
happy,pyahp,191,['happy'],5,SetB
couple,eucplo,192,['couple'],6,SetB
care,ecar,193,"['race', 'acer', 'care', 'acre']",4,SetB
human,unamh,194,"['human', 'nahum']",5,SetB
county,toyunc,195,['county'],6,SetB
week,ekew,196,['week'],4,SetB
cause,cesau,197,"['cause', 'sauce']",5,SetB
player,yraepl,198,"['pearly', 'parley', 'player', 'replay']",6,SetB
case,esac,199,"['aecs', 'case', 'aces']",4,SetB
woman,wmaon,200,['woman'],5,SetB
happen,hppean,201,['happen'],6,SetB
live,ievl,202,"['veil', 'vile', 'levi', 'live', 'evil']",4,SetB
north,rthno,203,"['north', 'thorn']",5,SetB
middle,emdidl,204,['middle'],6,SetB
full,ullf,205,['full'],4,SetB
watch,cawth,206,['watch'],5,SetB
higher,hhgier,207,['higher'],6,SetB
read,ader,208,"['dare', 'read', 'dear']",4,SetB
leave,eaelv,209,"['leave', 'aleve']",5,SetB
needed,deened,210,['needed'],6,SetB
hard,radh,211,['hard'],4,SetB
taken,atkne,212,['taken'],5,SetB
result,rtseul,213,"['rustle', 'luster', 'sutler', 'ulster', 'lustre', 'result']",6,SetB
mean,naem,214,"['mane', 'name', 'mean', 'amen']",4,SetB
light,hitgl,215,['light'],5,SetB
member,embrem,216,['member'],6,SetB
four,urfo,217,['four'],4,SetB
short,hsort,218,"['thors', 'roths', 'horst', 'short']",5,SetB
design,gdsein,219,"['signed', 'dinges', 'design', 'singed', 'deigns']",6,SetB
once,cneo,220,"['once', 'cone']",4,SetB
third,rthid,221,['third'],5,SetB
answer,snreaw,222,"['warnes', 'answer']",6,SetB
tell,lelt,223,['tell'],4,SetB
check,ckche,224,['check'],5,SetB
policy,iyolpc,225,['policy'],6,SetB
stop,ptso,226,"['post', 'stop', 'spot', 'opts', 'pots', 'tops', 'ptos']",4,SetB
heart,hetra,227,"['hater', 'earth', 'herat', 'harte', 'heart']",5,SetB
longer,rlnego,228,['longer'],6,SetB
call,clal,229,['call'],4,SetB
major,romaj,230,['major'],5,SetB
church,uchrhc,231,['church'],6,SetB
head,ahed,232,['head'],4,SetB
phone,poehn,233,['phone'],5,SetB
giving,igigvn,234,['giving'],6,SetB
side,esdi,235,"['ieds', 'ides', 'side', 'dies']",4,SetB
child,hildc,236,['child'],5,SetB
ground,ngodru,237,['ground'],6,SetB
less,esls,238,"['sles', 'less']",4,SetB
quite,iuetq,239,"['quiet', 'quite']",5,SetB
source,ourcse,240,"['cerous', 'course', 'crouse', 'source']",6,SetB
line,lnei,241,"['lien', 'line', 'nile']",4,SetB
works,rskow,242,['works'],5,SetB
follow,loolfw,243,['follow'],6,SetB
open,pnoe,244,"['open', 'peon', 'pone']",4,SetB
ready,yarde,245,"['rayed', 'deary', 'ready']",5,SetB
amount,ntmoua,246,['amount'],6,SetB
area,raea,247,"['aare', 'area']",4,SetB
front,frtno,248,['front'],5,SetB
league,ulegea,249,['league'],6,SetB
kind,dnki,250,"['kind', 'dink']",4,SetB
final,fnali,251,['final'],5,SetB
review,ewvrei,252,"['review', 'viewer']",6,SetB
five,vefi,253,['five'],4,SetB
heard,derah,254,"['heard', 'hared']",5,SetB
august,astuug,255,['august'],6,SetB
face,feca,256,"['face', 'cafe']",4,SetB
bring,bgrni,257,['bring'],5,SetB
entire,erinet,258,['entire'],6,SetB
hope,epho,259,['hope'],4,SetB
march,hcmra,260,"['march', 'charm']",5,SetB
turned,ntdure,261,['turned'],6,SetB
news,swen,262,"['news', 'sewn', 'wens']",4,SetB
study,sduty,263,"['study', 'dusty', 'dutys']",5,SetB
french,nhfrec,264,['french'],6,SetB
able,ealb,265,"['bale', 'abel', 'able', 'blae']",4,SetB
clear,crela,266,"['clear', 'lacer']",5,SetB
attack,ckatat,267,['attack'],6,SetB
post,tpso,268,"['stop', 'post', 'spot', 'opts', 'pots', 'tops', 'ptos']",4,SetB
words,dsorw,269,"['sword', 'words']",5,SetB
simple,emplsi,270,"['limpes', 'simple', 'impels']",6,SetB
book,okob,271,"['kobo', 'book']",4,SetB
month,otmhn,272,['month'],5,SetB
choice,ioechc,273,"['echoic', 'choice']",6,SetB
talk,latk,274,['talk'],4,SetB
field,diefl,275,"['felid', 'field', 'filed']",5,SetB
simply,yilmps,276,"['simply', 'implys']",6,SetB
half,aflh,277,['half'],4,SetB
board,arbdo,278,"['board', 'broad', 'dobra']",5,SetB
modern,renmdo,279,['modern'],6,SetB
hand,anhd,280,['hand'],4,SetB
space,seapc,281,"['scape', 'capes', 'space', 'paces']",5,SetB
career,raecre,282,['career'],6,SetB
mind,dmni,283,['mind'],4,SetB
fight,tfgih,284,['fight'],5,SetB
figure,igrfue,285,['figure'],6,SetB
fact,fcta,286,['fact'],4,SetB
issue,ssuei,287,['issue'],5,SetB
forget,oertgf,288,['forget'],6,SetB
true,etru,289,['true'],4,SetB
force,cfroe,290,['force'],5,SetB
listen,nestil,291,"['enlist', 'tinsel', 'inlets', 'elints', 'listen', 'silent']",6,SetB
food,odof,292,['food'],4,SetB
price,eircp,293,['price'],5,SetB
access,csscae,294,['access'],6,SetB
body,odby,295,['body'],4,SetB
total,aottl,296,['total'],5,SetB
recent,nreect,297,"['center', 'centre', 'recent', 'tenrec']",6,SetB
lost,tosl,298,"['lost', 'slot', 'lots']",4,SetB
above,vebao,299,['above'],5,SetB
seeing,ingsee,300,"['eigens', 'seeing', 'genies']",6,SetB
room,romo,301,"['moro', 'room', 'moor']",4,SetC
share,ahesr,302,"['hears', 'shear', 'heras', 'hares', 'rheas', 'share']",5,SetC
europe,uorepe,303,['europe'],6,SetC
girl,grli,304,['girl'],4,SetC
sense,eessn,305,"['senes', 'essen', 'sense']",5,SetC
growth,hgrowt,306,['growth'],6,SetC
nice,ncei,307,['nice'],4,SetC
april,alrpi,308,"['pilar', 'april']",5,SetC
moving,nvgmoi,309,['moving'],6,SetC
past,sapt,310,"['atps', 'spat', 'past', 'taps', 'pats']",4,SetC
event,nvtee,311,['event'],5,SetC
charge,rghace,312,['charge'],6,SetC
idea,daei,313,"['aide', 'idea']",4,SetC
break,kebar,314,"['break', 'baker', 'brake']",5,SetC
weight,gewhti,315,['weight'],6,SetC
move,meov,316,['move'],4,SetC
guess,sugse,317,['guess'],5,SetC
effect,ceffte,318,['effect'],6,SetC
wait,tiaw,319,['wait'],4,SetC
learn,reanl,320,"['learn', 'renal']",5,SetC
create,eretac,321,"['cerate', 'ecarte', 'create']",6,SetC
late,elat,322,"['teal', 'tael', 'tale', 'late']",4,SetC
alone,eaoln,323,"['anole', 'alone']",5,SetC
double,elobdu,324,['double'],6,SetC
data,atda,325,['data'],4,SetC
worth,ohrtw,326,"['worth', 'throw', 'wroth']",5,SetC
normal,mnoarl,327,"['normal', 'molnar']",6,SetC
stay,yats,328,"['stay', 'tays']",4,SetC
press,rsspe,329,['press'],5,SetC
island,ildsan,330,"['island', 'ladins']",6,SetC
soon,snoo,331,"['onos', 'soon']",4,SetC
hands,dsanh,332,['hands'],5,SetC
expect,ptcxee,333,"['except', 'expect']",6,SetC
turn,ntur,334,"['runt', 'turn']",4,SetC
movie,vmioe,335,['movie'],5,SetC
female,mflaee,336,['female'],6,SetC
deal,edal,337,"['dale', 'deal', 'leda', 'lead', 'lade']",4,SetC
sound,uosnd,338,"['sound', 'undos']",5,SetC
credit,dertci,339,"['triced', 'credit', 'direct']",6,SetC
form,ofrm,340,['form'],4,SetC
value,laeuv,341,"['value', 'uveal']",5,SetC
travel,lrteav,342,"['travel', 'varlet']",6,SetC
fire,fier,343,"['rife', 'fire']",4,SetC
round,nuord,344,['round'],5,SetC
region,oeginr,345,"['origen', 'ignore', 'eringo', 'region']",6,SetC
easy,asey,346,"['yeas', 'eyas', 'easy']",4,SetC
stand,tdnsa,347,['stand'],5,SetC
minute,iteunm,348,"['minute', 'minuet']",6,SetC
near,rane,349,"['earn', 'near', 'aner']",4,SetC
stuff,suftf,350,"['stuff', 'tuffs']",5,SetC
beyond,nbdoey,351,['beyond'],6,SetC
west,sewt,352,"['stew', 'wets', 'west']",4,SetC
green,regne,353,"['green', 'genre']",5,SetC
nature,uearnt,354,['nature'],6,SetC
plan,anpl,355,['plan'],4,SetC
drive,virde,356,"['diver', 'verdi', 'rived', 'drive']",5,SetC
posted,tdspeo,357,"['depots', 'stoped', 'spoted', 'posted', 'despot']",6,SetC
list,ilst,358,"['lits', 'silt', 'slit', 'list']",4,SetC
model,dmoel,359,['model'],5,SetC
safety,esytfa,360,['safety'],6,SetC
type,eytp,361,['type'],4,SetC
match,mtach,362,['match'],5,SetC
canada,adacan,363,['canada'],6,SetC
meet,emet,364,"['teem', 'meet', 'mete']",4,SetC
trust,rtuts,365,"['trust', 'strut']",5,SetC
income,ecionm,366,['income'],6,SetC
song,sogn,367,"['nogs', 'ngos', 'song', 'snog']",4,SetC
trade,eartd,368,"['tread', 'tared', 'trade', 'rated']",5,SetC
search,chsare,369,"['chares', 'eschar', 'arches', 'reachs', 'search', 'chaser']",6,SetC
baby,abby,370,['baby'],4,SetC
range,earng,371,"['anger', 'range']",5,SetC
friday,drfiay,372,['friday'],6,SetC
word,rowd,373,['word'],4,SetC
chief,efhci,374,['chief'],5,SetC
global,oalglb,375,['global'],6,SetC
self,lsfe,376,"['self', 'elfs']",4,SetC
style,ytesl,377,['style'],5,SetC
german,nrmage,378,"['manger', 'german', 'engram']",6,SetC
main,ainm,379,"['mina', 'main']",4,SetC
lower,owerl,380,"['rowel', 'lower']",5,SetC
letter,rleett,381,['letter'],6,SetC
held,hled,382,['held'],4,SetC
stage,gsate,383,"['gates', 'stage', 'getas', 'tages']",5,SetC
leader,leraed,384,"['leader', 'dealer']",6,SetC
road,oard,385,"['orad', 'road']",4,SetC
china,ainch,386,"['chian', 'chain', 'china']",5,SetC
sister,tisres,387,"['resist', 'stires', 'sister']",6,SetC
town,tnwo,388,"['town', 'wont']",4,SetC
blood,bdolo,389,['blood'],5,SetC
author,tharuo,390,['author'],6,SetC
cost,sotc,391,"['cost', 'octs', 'cots', 'scot']",4,SetC
title,itelt,392,['title'],5,SetC
annual,aaunln,393,['annual'],6,SetC
fine,einf,394,['fine'],4,SetC
enjoy,nyoej,395,['enjoy'],5,SetC
battle,labett,396,"['battle', 'tablet']",6,SetC
rest,esrt,397,"['erst', 'rets', 'rest', 'erts']",4,SetC
super,psreu,398,"['purse', 'super', 'sprue', 'perus']",5,SetC
degree,egeedr,399,['degree'],6,SetC
term,tmer,400,['term'],4,SetC
legal,alegl,401,['legal'],5,SetC
france,cranfe,402,['france'],6,SetC
wife,iefw,403,['wife'],4,SetC
union,oinun,404,['union'],5,SetC
active,eaicvt,405,['active'],6,SetC
hear,hrea,406,"['hare', 'rhea', 'hera', 'hear']",4,SetC
seven,svnee,407,"['evens', 'neves', 'seven']",5,SetC
cancer,raccne,408,['cancer'],6,SetC
shot,osht,409,"['tosh', 'thos', 'shot', 'host']",4,SetC
cover,erovc,410,['cover'],5,SetC
master,tsemar,411,"['martes', 'trames', 'stream', 'tremas', 'master', 'maters', 'tamers', 'armets']",6,SetC
miss,mssi,412,"['miss', 'isms']",4,SetC
staff,taffs,413,['staff'],5,SetC
wonder,wndroe,414,"['wonder', 'downer']",6,SetC
date,deat,415,"['edta', 'date']",4,SetC
crazy,rzyca,416,['crazy'],5,SetC
russia,susair,417,"['russia', 'ariuss']",6,SetC
site,seti,418,"['ties', 'site', 'iest']",4,SetC
built,btuli,419,['built'],5,SetC
secret,ecstre,420,"['resect', 'erects', 'cretes', 'secret', 'terces']",6,SetC
land,adnl,421,['land'],4,SetC
daily,iyadl,422,"['daily', 'lydia']",5,SetC
latest,eslatt,423,"['lattes', 'latest']",6,SetC
eyes,esye,424,['eyes'],4,SetC
voice,vioec,425,['voice'],5,SetC
senior,reoisn,426,"['irones', 'senior', 'nosier']",6,SetC
june,neuj,427,['june'],4,SetC
paper,pearp,428,['paper'],5,SetC
effort,fotfer,429,['effort'],6,SetC
lead,edal,430,"['dale', 'deal', 'leda', 'lead', 'lade']",4,SetC
parts,rspat,431,"['traps', 'tarps', 'prats', 'parts', 'sprat', 'strap']",5,SetC
spring,rgipns,432,['spring'],6,SetC
club,lucb,433,['club'],4,SetC
earth,retha,434,"['hater', 'earth', 'herat', 'harte', 'heart']",5,SetC
impact,itamcp,435,['impact'],6,SetC
film,lfim,436,['film'],4,SetC
below,obwle,437,"['below', 'elbow', 'bowel']",5,SetC
africa,iaafrc,438,['africa'],6,SetC
dead,adde,439,"['dead', 'edda']",4,SetC
table,ealtb,440,"['bleat', 'blate', 'table']",5,SetC
sunday,uydans,441,['sunday'],6,SetC
test,etts,442,"['stet', 'tets', 'test', 'sett']",4,SetC
truth,tuthr,443,['truth'],5,SetC
direct,citedr,444,"['direct', 'credit', 'triced']",6,SetC
view,wvie,445,"['view', 'wive']",4,SetC
offer,frefo,446,['offer'],5,SetC
indian,dniian,447,['indian'],6,SetC
hold,dolh,448,['hold'],4,SetC
sleep,elesp,449,"['sleep', 'peels']",5,SetC
easily,ysaeil,450,"['easily', 'aileys']",6,SetC
star,stra,451,"['arts', 'rats', 'star', 'tsar', 'tars']",4,SetD
visit,ivsti,452,"['visit', 'vitis']",5,SetD
finish,isnhfi,453,['finish'],6,SetD
hour,urho,454,['hour'],4,SetD
piece,eeicp,455,['piece'],5,SetD
choose,oehcos,456,"['choose', 'cohoes']",6,SetD
wish,hiws,457,['wish'],4,SetD
india,danii,458,['india'],5,SetD
closed,edlsco,459,['closed'],6,SetD
gone,egno,460,['gone'],4,SetD
build,uildb,461,['build'],5,SetD
damage,amadeg,462,"['damage', 'dagame']",6,SetD
gold,odlg,463,['gold'],4,SetD
river,verri,464,['river'],5,SetD
doctor,odtorc,465,['doctor'],6,SetD
king,knig,466,['king'],4,SetD
speak,kaesp,467,"['speak', 'peaks']",5,SetD
notice,ctenoi,468,"['notice', 'noetic']",6,SetD
july,yjlu,469,['july'],4,SetD
write,wtier,470,['write'],5,SetD
highly,ylihgh,471,['highly'],6,SetD
east,esat,472,"['etas', 'ates', 'seat', 'teas', 'east', 'sate', 'seta', 'eats']",4,SetD
eight,eghti,473,['eight'],5,SetD
winter,ienwtr,474,"['twiner', 'winter']",6,SetD
sent,etsn,475,"['nest', 'tens', 'nets', 'sent']",4,SetD
funny,nunyf,476,['funny'],5,SetD
broken,korbne,477,['broken'],6,SetD
bank,anbk,478,['bank'],4,SetD
track,karct,479,['track'],5,SetD
theory,tyhreo,480,['theory'],6,SetD
role,eolr,481,"['lore', 'role']",4,SetD
album,ulamb,482,['album'],5,SetD
advice,cdviea,483,['advice'],6,SetD
park,prka,484,['park'],4,SetD
peace,ecpea,485,['peace'],5,SetD
nation,itnona,486,"['anoint', 'nation']",6,SetD
cool,oolc,487,"['loco', 'cool']",4,SetD
store,esrot,488,"['rotes', 'store', 'tores']",5,SetD
camera,rmaace,489,['camera'],6,SetD
bill,blli,490,['bill'],4,SetD
brown,bwnor,491,['brown'],5,SetD
agency,nycage,492,"['cagney', 'agency']",6,SetD
save,vsea,493,"['vase', 'aves', 'save']",4,SetD
moved,odmev,494,['moved'],5,SetD
status,tasstu,495,['status'],6,SetD
rate,ater,496,"['tear', 'tare', 'rate', 'tera']",4,SetD
ahead,aedha,497,"['aahed', 'ahead']",5,SetD
murder,remrud,498,['murder'],6,SetD
fast,asft,499,"['atfs', 'fats', 'fast']",4,SetD
radio,adrio,500,"['radio', 'aroid']",5,SetD
flight,fhlgit,501,['flight'],6,SetD
blue,lebu,502,"['bleu', 'lube', 'blue']",4,SetD
allow,loawl,503,['allow'],5,SetD
coffee,feeofc,504,['coffee'],6,SetD
size,iesz,505,['size'],4,SetD
cross,csosr,506,['cross'],5,SetD
actual,acutal,507,['actual'],6,SetD
step,espt,508,"['step', 'sept', 'pets', 'pest']",4,SetD
loved,oevdl,509,['loved'],5,SetD
mobile,oeblim,510,"['emboli', 'mobile']",6,SetD
fall,alfl,511,['fall'],4,SetD
speed,pdsee,512,"['deeps', 'pedes', 'speed']",5,SetD
opened,enpdeo,513,"['depone', 'opened']",6,SetD
felt,elft,514,"['left', 'felt']",4,SetD
focus,csofu,515,['focus'],5,SetD
placed,dlpaec,516,"['claped', 'placed']",6,SetD
paid,iadp,517,['paid'],4,SetD
extra,aextr,518,"['taxer', 'extra']",5,SetD
signed,ignesd,519,"['signed', 'dinges', 'design', 'singed', 'deigns']",6,SetD
page,agpe,520,"['peag', 'page', 'gape']",4,SetD
quick,iuqck,521,['quick'],5,SetD
eating,ngitea,522,['eating'],6,SetD
vote,veot,523,"['veto', 'vote']",4,SetD
clean,naelc,524,"['clean', 'lance']",5,SetD
screen,rcnese,525,"['secern', 'censer', 'screen']",6,SetD
hate,teha,526,"['thea', 'heat', 'hate']",4,SetD
scene,necse,527,"['cense', 'scene']",5,SetD
speech,chspee,528,"['speech', 'cheeps']",6,SetD
send,sden,529,"['dens', 'ends', 'send']",4,SetD
agree,gerae,530,"['gerea', 'ragee', 'agree', 'eager', 'eagre']",5,SetD
appear,prpaae,531,['appear'],6,SetD
hell,lhle,532,['hell'],4,SetD
spend,denps,533,['spend'],5,SetD
accept,tpecca,534,['accept'],6,SetD
lord,drol,535,['lord'],4,SetD
